chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
1,1338846,1339097,251,1338935,10.2,7.01153,4.96339,5.24927
1,1345917,1346697,780,1346382,20.39,16.2702,8.33887,14.0449
1,1348120,1348977,857,1348475,61.17,36.0908,7.77157,33.2468
1,1363604,1364434,830,1364013,21.46,14.9829,7.33161,12.8098
1,1366358,1366580,222,1366428,24.68,9.52024,4.16943,7.60287
1,1400609,1400790,181,1400714,16.1,9.52397,5.2837,7.60529
1,1408381,1408647,266,1408498,13.42,9.55582,6.06694,7.63376
1,1408857,1409100,243,1409023,11.27,5.86499,4.08954,4.18662
1,1433802,1434357,555,1434107,18.24,13.9497,7.45216,11.823
1,1434529,1435140,611,1434890,25.22,18.453,8.10268,16.1417
1,1435340,1435617,277,1435416,29.51,7.55824,3.05131,5.75867
1,1443644,1444287,643,1443975,37.56,42.164,17.4964,39.1759
1,1444534,1444839,305,1444714,13.42,5.46828,3.60376,3.81907
1,1446849,1447856,1007,1447223,41.32,12.0592,3.52653,10.0158
1,1486264,1487246,982,1486627,108.93,67.3792,9.16084,63.9595
1,1488215,1488740,525,1488308,29.51,10.0007,3.81414,8.06557
1,1491242,1491869,627,1491594,198.01,248.394,37.5483,243.924
1,1497456,1498151,695,1497837,15.02,8.1942,4.70213,6.35162
1,1498324,1498698,374,1498483,20.39,8.48129,4.17138,6.62221
1,1499808,1500133,325,1500010,13.42,8.90895,5.65739,7.03189
1,1503110,1503293,183,1503207,12.88,8.48198,5.79911,6.62262
1,1503614,1503912,298,1503762,17.71,13.026,7.34217,10.9385
1,1521164,1521574,410,1521348,32.2,7.18288,2.76634,5.40593
1,1522987,1523303,316,1523050,10.73,5.34017,4.08099,3.69998
1,1528487,1528971,484,1528777,37.56,40.8504,16.7138,37.8913
1,1529956,1530401,445,1530282,20.93,12.6893,6.43412,10.6166
1,1547302,1547788,486,1547356,8.05,4.88898,3.83628,3.28935
1,1549383,1549636,253,1549504,24.15,13.2094,5.66376,11.1133
1,1550135,1550803,668,1550334,27.9,14.8845,6.04166,12.7155
1,1584715,1584976,261,1584874,38.64,22.2642,7.02256,19.8199
1,1592130,1592346,216,1592272,10.73,7.19164,5.32306,5.41207
1,1593017,1593691,674,1593403,19.85,10.0802,5.21357,8.13771
1,1640018,1640202,184,1640116,12.34,7.13527,4.72579,5.35931
1,1649467,1649851,384,1649568,11.81,9.2473,6.51368,7.34654
1,1659082,1659836,754,1659671,70.83,102.358,35.9157,98.5786
1,1662264,1663039,775,1662872,17.17,11.2084,6.05708,9.20446
1,1671549,1672398,849,1671757,83.17,58.5349,10.5217,55.2451
1,1675075,1675300,225,1675236,12.88,7.67823,5.26896,5.86977
1,1676930,1677495,565,1677218,37.56,34.1251,12.854,31.3284
1,1704692,1705609,917,1705296,40.78,30.1728,9.94993,27.4811
1,1712982,1713413,431,1713084,19.32,13.1909,6.77255,11.0958
1,1720442,1720748,306,1720614,9.66,4.33257,3.55294,2.76944
1,1737123,1737832,709,1737425,57.95,61.765,19.651,58.4241
1,1738961,1739356,395,1739275,17.17,10.9883,5.93057,8.9969
1,1745800,1746260,460,1746257,14.49,3.50376,2.51433,2.03137
1,1746611,1747749,1138,1746919,233.96,280.364,35.1945,275.775
1,1750477,1750779,302,1750617,35.95,12.4287,4.10581,10.3699
1,1754153,1754558,405,1754447,18.24,9.43334,4.9043,7.51975
1,1760276,1760588,312,1760484,16.1,10.2513,5.69935,8.29607
1,1769647,1770144,497,1769989,32.73,22.4566,8.43318,20.0027
1,1777826,1778082,256,1777890,28.44,8.09835,3.2711,6.2681
1,1813386,1813770,384,1813553,19.85,15.2299,8.18456,13.0408
1,1833223,1833834,611,1833619,19.85,13.1909,6.95142,11.0958
1,1850248,1850598,350,1850361,19.32,9.84598,4.96037,7.91669
1,1856480,1856652,172,1856591,11.81,6.54004,4.70781,4.81444
1,1864346,1864844,498,1864656,28.98,15.7711,6.26599,13.5639
1,1865683,1865984,301,1865829,26.29,6.0158,2.72935,4.32585
1,1874550,1874927,377,1874735,34.88,20.6283,7.17582,18.2347
1,1910210,1910485,275,1910424,13.95,8.55807,5.63958,6.69582
1,1934398,1935547,1149,1934697,49.37,31.6613,8.39456,28.9271
1,1955773,1956534,761,1956074,26.83,22.0722,10.0412,19.6304
1,1966524,1966791,267,1966632,13.42,5.46828,3.60376,3.81907
1,1967905,1968675,770,1968479,31.12,35.6432,15.9435,32.8101
1,1976209,1976601,392,1976381,25.22,20.7862,9.40199,18.3856
1,1976948,1977183,235,1977066,20.39,11.6132,5.70119,9.58751
1,1978063,1978534,471,1978313,100.88,97.8428,19.2229,94.1043
1,1988761,1989257,496,1989069,20.93,18.271,9.79604,15.966
1,2007360,2007612,252,2007514,15.02,9.12588,5.23004,7.23548
1,2011191,2011877,686,2011583,63.32,60.5308,16.3912,57.2077
1,2019728,2020174,446,2019803,17.71,8.44714,4.67696,6.58876
1,2021248,2021530,282,2021344,29.51,8.67725,3.39034,6.80997
1,2025366,2025719,353,2025472,16.63,14.9606,8.81733,12.7887
1,2028355,2028964,609,2028754,199.08,378.328,101.775,373.455
1,2035366,2035570,204,2035459,9.66,6.95302,5.32941,5.19463
1,2038086,2038700,614,2038376,21.46,19.7766,10.1924,17.4143
1,2052435,2053027,592,2052883,23.61,11.0053,4.92209,9.01184
1,2054148,2054636,488,2054357,22.54,19.3375,9.62748,16.9907
1,2056892,2057543,651,2057131,32.73,27.9963,11.3273,25.364
1,2057919,2058190,271,2058056,19.85,12.3191,6.44446,10.264
1,2073347,2073889,542,2073407,17.71,8.61674,4.76755,6.75254
1,2078378,2078796,418,2078521,13.42,9.55582,6.06694,7.63376
1,2116065,2116287,222,2116173,12.88,8.48198,5.79911,6.62262
1,2123165,2123410,245,2123335,14.49,8.41215,5.16275,6.5578
1,2177793,2178013,220,2177942,10.2,7.44556,5.24327,5.65512
1,2178615,2178789,174,2178618,11.81,5.86499,4.26841,4.18662
1,2195558,2196050,492,2195709,31.66,33.3469,14.8183,30.5707
1,2197762,2197962,200,2197865,12.88,10.3787,7.05958,8.41042
1,2223957,2224318,361,2224234,20.39,14.2141,7.13029,12.0699
1,2224558,2224852,294,2224685,17.17,13.026,7.13157,10.9385
1,2225091,2225269,178,2225248,15.02,6.9063,4.00621,5.15424
1,2229967,2230211,244,2230061,12.88,10.3787,7.05958,8.41042
1,2245394,2245589,195,2245537,10.73,5.3033,4.05672,3.6666
1,2255005,2255313,308,2255055,17.71,5.26629,3.11798,3.63745
1,2261039,2261827,788,2261199,30.05,25.4237,10.3499,22.8717
1,2267515,2267789,274,2267685,9.66,5.96054,4.65451,4.27215
1,2268108,2268560,452,2268417,17.17,15.3937,8.57944,13.198
1,2306920,2307141,221,2307020,9.12,6.22657,4.59266,4.51383
1,2328728,2329012,284,2328879,16.63,13.2912,7.759,11.1942
1,2335524,2335922,398,2335706,34.34,17.6571,5.89042,15.3723
1,2364330,2364615,285,2364559,15.02,13.9559,8.1514,11.823
1,2376557,2377557,1000,2377325,23.61,24.5567,12.5187,22.0321
1,2392574,2392832,258,2392737,11.27,5.72617,4.00412,4.06273
1,2402612,2403437,825,2403114,41.85,21.0061,6.12213,18.6019
1,2412212,2412871,659,2412396,11.27,8.19382,5.56653,6.35162
1,2414669,2415228,559,2414782,28.98,10.8899,4.28236,8.90652
1,2416171,2416766,595,2416617,16.1,10.4396,5.80855,8.4694
1,2421148,2421581,433,2421221,16.63,7.66459,4.40866,5.85628
1,2422048,2422288,240,2422271,16.1,5.53312,3.22605,3.88109
1,2429759,2430057,298,2429886,16.63,12.3453,7.16273,10.288
1,2431573,2432100,527,2431874,23.61,11.0053,4.92209,9.01184
1,2435084,2435287,203,2435136,14.49,6.00705,3.78131,4.31798
1,2439576,2440085,509,2439726,18.78,17.2504,9.73477,14.9868
1,2448738,2449168,430,2449019,20.93,4.83877,2.74093,3.24493
1,2457855,2458283,428,2458086,27.9,26.9281,12.6215,24.3299
1,2472681,2473291,610,2473119,148.64,229.511,56.8104,225.111
1,2479723,2479922,199,2479726,12.34,3.5627,2.66837,2.07977
1,2494896,2495079,183,2494922,9.12,7.09034,5.1489,5.31608
1,2499074,2499906,832,2499752,15.56,9.31879,5.52048,7.40747
1,2500280,2500816,536,2500494,40.78,26.7121,8.43053,24.1188
1,2511570,2511980,410,2511721,11.81,5.72617,4.17925,4.06273
1,2519799,2520497,698,2520049,41.85,23.9089,7.14249,21.4053
1,2525401,2525829,428,2525495,22,17.7101,8.45613,15.4216
1,2529984,2531776,1792,2531426,71.9,70.7189,18.2262,67.2598
1,2535529,2535949,420,2535768,50.44,32.6708,8.57343,29.9101
1,2536926,2537403,477,2537285,32.73,23.5889,8.99059,21.0952
1,2543902,2544378,476,2544261,18.24,11.365,5.94699,9.35174
1,2546296,2546793,497,2546525,35.95,29.9336,11.4191,27.2482
1,2547582,2548111,529,2547777,48.29,40.0517,12.0347,37.1103
1,2571159,2571668,509,2571416,40.25,45.5369,18.011,42.4825
1,2582952,2584492,1540,2583409,71.37,57.7591,12.8221,54.479
1,2608441,2608718,277,2608548,15.02,11.6638,6.74446,9.63561
1,2615145,2615531,386,2615271,14.49,12.131,7.49528,10.0858
1,2662846,2663520,674,2662997,37.56,21.8889,7.04717,19.4546
1,2664855,2665219,364,2664915,22,7.90192,3.63245,6.08262
1,2711264,2711599,335,2711430,17.17,16.4744,9.24322,14.2306
1,2741628,2742132,504,2741892,94.98,61.227,9.59785,57.8949
1,2789425,2789687,262,2789558,14.49,4.70046,3.09765,3.11737
1,2791597,2791806,209,2791672,12.34,9.23022,6.05347,7.33552
1,2817312,2817820,508,2817577,36.49,13.5185,4.28935,11.4129
1,2818047,2818670,623,2818267,31.66,8.15533,3.12232,6.31702
1,2830639,2831049,410,2830851,20.39,14.9067,7.53093,12.7376
1,2848925,2849558,633,2849171,40.78,14.2051,4.17817,12.0656
1,2860678,2860966,288,2860868,17.17,14.1539,7.81761,12.0151
1,2871582,2872258,676,2871928,75.66,60.2961,12.7768,56.9786
1,2874855,2875263,408,2875141,12.34,9.94514,6.51075,8.01097
1,2885170,2885625,455,2885425,22,13.4431,6.13024,11.34
1,2887833,2888532,699,2887949,13.95,5.46828,3.73791,3.81907
1,2919034,2919373,339,2919139,25.22,10.5157,4.37005,8.54303
1,2954687,2955375,688,2954907,27.37,27.5658,12.7709,24.9473
1,2982302,2982599,297,2982352,9.66,6.17169,4.79868,4.46501
1,2985902,2986103,201,2986064,15.02,4.1611,2.67081,2.62147
1,3000724,3001208,484,3001195,16.63,4.70182,2.93911,3.11745
1,3004585,3005603,1018,3005459,31.66,9.87633,3.62883,7.94525
1,3024238,3024531,293,3024362,9.66,6.06449,4.7255,4.3716
1,3039147,3039945,798,3039433,46.68,16.6548,4.33494,14.4068
1,3047885,3048311,426,3048007,16.63,6.2683,3.68617,4.55476
1,3060777,3061430,653,3061059,20.39,12.6893,6.27666,10.6166
1,3063032,3063273,241,3063135,11.27,8.19382,5.56653,6.35162
1,3077042,3077311,269,3077181,13.95,10.5439,6.9465,8.57057
1,3083510,3083723,213,3083659,19.32,11.7462,5.96175,9.71608
1,3083981,3084722,741,3084405,30.59,26.1257,10.922,23.5508
1,3093929,3094289,360,3094134,17.17,13.026,7.13157,10.9385
1,3095563,3095802,239,3095734,13.95,7.53305,4.98388,5.73483
1,3104766,3105158,392,3104880,20.39,20.4248,10.8809,18.0346
1,3106837,3107349,512,3107117,17.71,5.26629,3.11798,3.63745
1,3123428,3124208,780,3123841,46.15,59.8378,23.5739,56.527
1,3125769,3126107,338,3125994,10.73,7.78794,5.72518,5.9747
1,3136120,3136302,182,3136209,11.27,6.54004,4.51053,4.81444
1,3176314,3177009,695,3176752,42.39,36.1758,12.1205,33.3292
1,3177249,3177536,287,3177350,11.27,4.14638,3.06716,2.60805
1,3190251,3190474,223,3190403,9.12,4.33257,3.37408,2.76944
1,3192098,3192418,320,3192260,20.93,19.0219,10.2695,16.6864
1,3194671,3194843,172,3194772,12.88,4.79185,3.46961,3.19959
1,3238679,3239266,587,3238992,34.88,17.6571,5.97985,15.3723
1,3259729,3260070,341,3259987,12.34,9.15703,6.00659,7.26593
1,3271936,3272314,378,3272164,11.81,9.2473,6.51368,7.34654
1,3298888,3299314,426,3299044,13.42,11.3449,7.20752,9.33325
1,3354473,3354821,348,3354658,28.98,26.0925,11.7647,23.5186
1,3356446,3357045,599,3356901,35.42,16.0864,5.20224,13.8668
1,3367231,3367543,312,3367387,28.98,8.09835,3.33072,6.2681
1,3375809,3376300,491,3376140,37.56,27.8561,9.64053,25.2256
1,3376468,3376829,361,3376733,20.39,17.156,8.8744,14.8946
1,3400656,3400953,297,3400782,13.42,10.5439,6.69719,8.57057
1,3415415,3416237,822,3415817,24.15,9.79599,4.19118,7.86804
1,3431218,3431405,187,3431313,14.49,7.36737,4.54467,5.58059
1,3441394,3441948,554,3441530,19.85,13.1909,6.95142,11.0958
1,3465159,3465953,794,3465469,27.9,21.8929,9.63443,19.4551
1,3472101,3472945,844,3472443,34.34,24.9382,9.00675,22.4014
1,3477871,3478754,883,3478401,26.29,16.4086,6.82337,14.1708
1,3487295,3487529,234,3487425,12.88,6.6833,4.62615,4.94305
1,3499758,3499952,194,3499922,8.59,5.94877,4.79281,4.26127
1,3500715,3501138,423,3500881,18.78,17.7694,10.0621,15.4755
1,3501995,3502787,792,3502363,27.9,24.8191,11.3435,22.2874
1,3532837,3533126,289,3532975,14.49,8.73016,5.35555,6.85937
1,3533406,3533780,374,3533559,16.1,12.7578,7.19615,10.6789
1,3546755,3547078,323,3546984,13.95,10.3789,6.83722,8.41042
1,3601038,3601506,468,3601368,37.03,19.8174,6.17297,17.4526
1,3614987,3615298,311,3615156,20.39,19.154,10.0996,16.8106
1,3622625,3622799,174,3622703,17.71,5.26629,3.11798,3.63745
1,3624211,3624448,237,3624361,20.93,11.1312,5.58804,9.13458
1,3630781,3631134,353,3630904,11.81,8.92868,6.30179,7.04957
1,3633685,3634415,730,3633973,27.37,17.3804,7.09167,15.1089
1,3644088,3645762,1674,3645383,48.83,48.8845,16.6103,45.7601
1,3659242,3659713,471,3659561,14.49,10.3771,6.38006,8.41042
1,3661398,3662090,692,3661794,25.22,19.6141,8.74009,17.2563
1,3664018,3664752,734,3664257,63.86,46.5061,10.8093,43.4297
1,3710994,3711401,407,3711212,25.76,27.4011,13.6105,24.7885
1,3721953,3722712,759,3722385,23.61,19.8828,9.65874,17.5148
1,3723708,3724009,301,3723908,11.81,8.40155,5.94928,6.55111
1,3728356,3728601,245,3728436,13.95,5.89378,3.98498,4.21413
1,3735939,3736616,677,3736255,43.46,46.7318,17.4508,43.6518
1,3803976,3804300,324,3804215,20.93,19.8484,10.7911,17.482
1,3829764,3830259,495,3830155,21.46,15.2573,7.48802,13.0661
1,3833785,3834220,435,3833972,12.34,10.0316,6.56587,8.09431
1,3835901,3836329,428,3836038,27.9,26.1793,12.1647,23.6029
1,3836800,3836999,199,3836836,10.2,5.08049,3.73181,3.46239
1,3842861,3843521,660,3843112,48.83,28.2489,7.46416,25.6118
1,3854153,3854325,172,3854229,10.73,5.34017,4.08099,3.69998
1,3873036,3873315,279,3873192,17.71,11.5344,6.43058,9.51744
1,3876175,3876500,325,3876366,33.81,10.0904,3.5618,8.14795
1,3901462,3902215,753,3902072,23.61,19.668,9.53008,17.3096
1,3918363,3918893,530,3918730,18.24,15.0181,8.09952,12.8421
1,3919914,3920422,508,3920079,18.78,14.1169,7.76337,11.9784
1,3924226,3924881,655,3924581,30.59,28.971,12.5662,26.3097
1,3931997,3932641,644,3932431,38.64,28.9709,9.90883,26.3097
1,3943657,3944340,683,3943946,35.95,21.584,7.39046,19.1577
1,3945970,3946468,498,3946245,31.12,17.8356,6.42458,15.5393
1,3954820,3955286,466,3954974,16.63,15.2028,8.97027,13.0158
1,3960125,3960446,321,3960338,26.29,9.529,3.89907,7.60957
1,3960936,3961380,444,3961055,25.22,16.9805,7.3241,14.7235
1,3966603,3967490,887,3967019,20.93,20.4248,11.1539,18.0346
1,3975796,3976458,662,3975954,31.66,11.3145,4.08244,9.30537
1,3988388,3988626,238,3988513,16.1,10.2513,5.69935,8.29607
1,3993129,3993486,357,3993415,26.29,16.4086,6.82337,14.1708
1,4003670,4004144,474,4003922,54.2,66.9574,23.7467,63.5443
1,4033569,4034781,1212,4034152,41.32,30.9328,9.91526,28.2216
1,4043712,4044140,428,4044064,16.63,11.9584,6.92098,9.91801
1,4059259,4060161,902,4059643,73.51,86.1002,24.8381,82.4747
1,4064793,4065004,211,4064873,15.02,9.31879,5.34162,7.40747
1,4073188,4073422,234,4073298,19.32,10.0802,5.07941,8.13771
1,4075803,4076187,384,4076033,29.51,26.4552,11.435,23.8725
1,4097541,4097773,232,4097664,13.95,7.53305,4.98388,5.73483
1,4097993,4098525,532,4098412,26.29,16.4086,6.82337,14.1708
1,4117844,4118132,288,4117992,20.39,16.3639,8.39516,14.1298
1,4155164,4155469,305,4155233,13.95,11.5421,7.60549,9.51925
1,4163914,4164160,246,4164052,8.59,6.07118,4.87595,4.3716
1,4178426,4178598,172,4178521,12.88,5.93401,4.15622,4.25259
1,4241076,4241488,412,4241344,13.42,10.2984,6.5404,8.33838
1,4244279,4244723,444,4244655,10.2,8.15019,5.69481,6.31189
1,4269683,4270160,477,4269812,21.46,14.2893,6.94192,12.1438
1,4291322,4291678,356,4291432,17.71,6.67383,3.77479,4.9396
1,4312637,4312907,270,4312704,10.73,7.8601,5.77364,6.04223
1,4315421,4316343,922,4315975,54.2,74.3443,28.0771,70.8437
1,4326497,4327291,794,4326665,13.95,10.6284,7.00246,8.65216
1,4337712,4338345,633,4338244,18.78,4.75456,2.82587,3.16814
1,4340112,4340458,346,4340163,10.73,6.41563,4.79877,4.6977
1,4342021,4342327,306,4342230,10.2,5.69103,4.11597,4.03267
1,4374398,4374829,431,4374556,17.71,16.4744,9.51618,14.2306
1,4387650,4387961,311,4387884,9.66,7.09034,5.42186,5.31608
1,4397821,4398701,880,4398257,17.71,14.8496,8.48814,12.6815
1,4404682,4405739,1057,4405083,57.42,39.964,9.73606,37.026
1,4406019,4406418,399,4406276,19.32,6.46191,3.38628,4.74125
1,4432850,4433330,480,4433158,26.83,28.8481,14.1564,26.1897
1,4449304,4449504,200,4449359,15.56,5.31046,3.31229,3.67154
1,4453363,4453878,515,4453554,39.17,25.0289,7.83384,22.4888
1,4456417,4456755,338,4456589,16.63,9.52397,5.44952,7.60529
1,4497016,4497480,464,4497332,20.39,8.17959,4.03601,6.34067
1,4498573,4498819,246,4498699,13.95,7.53305,4.98388,5.73483
1,4528629,4528891,262,4528788,23.07,17.4005,8.02462,15.1232
1,4529161,4529821,660,4529252,15.02,8.1942,4.70213,6.35162
1,4531026,4531361,335,4531089,15.02,9.31879,5.34162,7.40747
1,4535231,4535440,209,4535303,17.17,10.4329,5.61534,8.46284
1,4545944,4546355,411,4546108,27.9,26.1793,12.1647,23.6029
1,4560494,4560898,404,4560592,13.42,6.21735,4.02655,4.50758
1,4573602,4574563,961,4574110,30.59,20.3845,7.89657,18.001
1,4579521,4580471,950,4580063,42.39,21.863,6.19879,19.4289
1,4592771,4593433,662,4593239,20.39,5.83711,3.05584,4.1677
1,4599192,4599700,508,4599364,14.49,8.41215,5.16275,6.5578
1,4609905,4610185,280,4610037,11.81,9.09165,6.41031,7.2045
1,4629557,4629779,222,4629680,12.34,10.3787,6.78663,8.41042
1,4633764,4633959,195,4633812,10.73,5.08049,3.91068,3.46239
1,4637374,4637920,546,4637478,13.95,11.1663,7.35809,9.16736
1,4638570,4639061,491,4638860,37.03,38.1619,14.9237,35.2641
1,4646154,4646501,347,4646288,14.49,4.70046,3.09765,3.11737
1,4647155,4647792,637,4647612,16.63,14.402,8.46355,12.2499
1,4656501,4656783,282,4656654,22.54,6.76191,3.2727,5.01955
1,4692343,4693551,1208,4692963,34.88,24.5802,8.96978,22.0525
1,4697061,4697946,885,4697596,51.51,53.105,17.5046,49.9039
1,4702474,4702759,285,4702589,18.78,14.1169,7.76337,11.9784
1,4720438,4720694,256,4720586,9.12,6.39663,4.70276,4.68022
1,4746842,4747115,273,4747012,17.71,15.0621,8.62272,12.8856
1,4756611,4756948,337,4756742,25.76,4.75251,2.43244,3.16684
1,4788778,4789429,651,4789027,26.29,28.4555,13.6467,25.8147
1,4797490,4798392,902,4797830,30.59,26.1257,10.922,23.5508
1,4807125,4807865,740,4807759,12.34,10.3787,6.78663,8.41042
1,4817557,4818182,625,4817636,16.63,7.66459,4.40866,5.85628
1,4823113,4823568,455,4823447,17.17,9.92389,5.33194,7.99036
1,4838259,4838487,228,4838337,9.12,7.09034,5.1489,5.31608
1,4861443,4861760,317,4861599,17.17,16.2172,9.08563,13.9925
1,4873489,4874369,880,4873923,63.86,89.129,32.1896,85.4741
1,4876162,4876525,363,4876276,22.54,22.8283,11.7686,20.362
