index	identifier	file	sum_stat	strand_pair	description
30	Nip_panicle_H3K27ac	106tracks_bw/HistoneMarks/Nip_panicle_H3K27ac_Rep1.rpgc.bw	mean	30	Nip_panicle_H3K27ac
31	Nip_panicle_H3K27me3	106tracks_bw/HistoneMarks/Nip_panicle_H3K27me3_Rep1.rpgc.bw	mean	31	Nip_panicle_H3K27me3
32	Nip_panicle_H3K4me1	106tracks_bw/HistoneMarks/Nip_panicle_H3K4me1_Rep1.rpgc.bw	mean	32	Nip_panicle_H3K4me1
33	Nip_panicle_H3K4me3	106tracks_bw/HistoneMarks/Nip_panicle_H3K4me3_Rep1.rpgc.bw	mean	33	Nip_panicle_H3K4me3
34	Nip_panicle_H3K9me2	106tracks_bw/HistoneMarks/Nip_panicle_H3K9me2_Rep1.rpgc.bw	mean	34	Nip_panicle_H3K9me2
35	Nip_panicle_RNAPII	106tracks_bw/HistoneMarks/Nip_panicle_RNAPII_Rep1.rpgc.bw	mean	35	Nip_panicle_RNAPII
36	Nip_root_H3K27ac	106tracks_bw/HistoneMarks/Nip_root_H3K27ac_Rep1.rpgc.bw	mean	36	Nip_root_H3K27ac
37	Nip_root_H3K27me3	106tracks_bw/HistoneMarks/Nip_root_H3K27me3_Rep1.rpgc.bw	mean	37	Nip_root_H3K27me3
38	Nip_root_H3K4me1	106tracks_bw/HistoneMarks/Nip_root_H3K4me1_Rep1.rpgc.bw	mean	38	Nip_root_H3K4me1
39	Nip_root_H3K4me3	106tracks_bw/HistoneMarks/Nip_root_H3K4me3_Rep1.rpgc.bw	mean	39	Nip_root_H3K4me3
40	Nip_root_H3K9me2	106tracks_bw/HistoneMarks/Nip_root_H3K9me2_Rep1.rpgc.bw	mean	40	Nip_root_H3K9me2
41	Nip_young_leaf_H3K27ac	106tracks_bw/HistoneMarks/Nip_young_leaf_H3K27ac_Rep1.rpgc.bw	mean	41	Nip_young_leaf_H3K27ac
42	Nip_young_leaf_H3K27me3	106tracks_bw/HistoneMarks/Nip_young_leaf_H3K27me3_Rep1.rpgc.bw	mean	42	Nip_young_leaf_H3K27me3
43	Nip_young_leaf_H3K4me1	106tracks_bw/HistoneMarks/Nip_young_leaf_H3K4me1_Rep1.rpgc.bw	mean	43	Nip_young_leaf_H3K4me1
44	Nip_young_leaf_H3K4me3	106tracks_bw/HistoneMarks/Nip_young_leaf_H3K4me3_Rep1.rpgc.bw	mean	44	Nip_young_leaf_H3K4me3
45	Nip_young_leaf_H3K9me2	106tracks_bw/HistoneMarks/Nip_young_leaf_H3K9me2_Rep1.rpgc.bw	mean	45	Nip_young_leaf_H3K9me2
46	Nip_young_leaf_RNAPII	106tracks_bw/HistoneMarks/Nip_young_leaf_RNAPII_Rep1.rpgc.bw	mean	46	Nip_young_leaf_RNAPII
47	H3K4me3_Calli	106tracks_bw/HistoneMarks/H3K4me3_calli_Rep1.rpgc.bw	mean	47	H3K4me3_Calli
48	H3K4me3_Leaves	106tracks_bw/HistoneMarks/H3K4me3_leaves_Rep1.rpgc.bw	mean	48	H3K4me3_Leaves
49	H3K4me3_Panicle	106tracks_bw/HistoneMarks/H3K4me3_panicle_Rep1.rpgc.bw	mean	49	H3K4me3_Panicle
50	H3K9me2_Calli	106tracks_bw/HistoneMarks/H3K9me2_calli_Rep1.rpgc.bw	mean	50	H3K9me2_Calli
51	H3K9me2_Leaves	106tracks_bw/HistoneMarks/H3K9me2_leaves_Rep1.rpgc.bw	mean	51	H3K9me2_Leaves
52	H3K9me2_Panicle	106tracks_bw/HistoneMarks/H3K9me2_panicle_Rep1.rpgc.bw	mean	52	H3K9me2_Panicle
53	H4K12ac_Calli	106tracks_bw/HistoneMarks/H4K12ac_calli_Rep1.rpgc.bw	mean	53	H4K12ac_Calli
54	H4K12ac_Leaves	106tracks_bw/HistoneMarks/H4K12ac_leaves_Rep1.rpgc.bw	mean	54	H4K12ac_Leaves
55	H4K12ac_Panicle	106tracks_bw/HistoneMarks/H4K12ac_panicle_Rep1.rpgc.bw	mean	55	H4K12ac_Panicle
56	H3K27me3_Nip_leaf	106tracks_bw/HistoneMarks/H3K27me3_Nip_leaf_Rep1.rpgc.bw	mean	56	H3K27me3_Nip_leaf
57	H3K27me3_Nip_root	106tracks_bw/HistoneMarks/H3K27me3_Nip_root_Rep1.rpgc.bw	mean	57	H3K27me3_Nip_root
58	H3K4me3_Nip_leaf	106tracks_bw/HistoneMarks/H3K4me3_Nip_leaf_Rep1.rpgc.bw	mean	58	H3K4me3_Nip_leaf
59	H3K4me3_Nip_root	106tracks_bw/HistoneMarks/H3K4me3_Nip_root_Rep1.rpgc.bw	mean	59	H3K4me3_Nip_root
60	ARF4_G5	106tracks_bw/TF_Tracks/ARF4_G5_Rep1.rpgc.bw	mean	60	ARF4_G5
61	ARF4_G8	106tracks_bw/TF_Tracks/ARF4_G8_Rep1.rpgc.bw	mean	61	ARF4_G8
62	HHC4_13	106tracks_bw/TF_Tracks/HHC4_13_Rep1.rpgc.bw	mean	62	HHC4_13
63	HHC4_14	106tracks_bw/TF_Tracks/HHC4_14_Rep1.rpgc.bw	mean	63	HHC4_14
64	HHC4_15	106tracks_bw/TF_Tracks/HHC4_15_Rep1.rpgc.bw	mean	64	HHC4_15
65	HHC4_1	106tracks_bw/TF_Tracks/HHC4_1_Rep1.rpgc.bw	mean	65	HHC4_1
66	HHC4_2	106tracks_bw/TF_Tracks/HHC4_2_Rep1.rpgc.bw	mean	66	HHC4_2
67	bZIP23_1	106tracks_bw/TF_Tracks/bZIP23_1_Rep1.rpgc.bw	mean	67	bZIP23_1
68	bZIP23_2	106tracks_bw/TF_Tracks/bZIP23_2_Rep1.rpgc.bw	mean	68	bZIP23_2
69	bZIP23_5	106tracks_bw/TF_Tracks/bZIP23_5_Rep1.rpgc.bw	mean	69	bZIP23_5
70	bZIP23_9	106tracks_bw/TF_Tracks/bZIP23_9_Rep1.rpgc.bw	mean	70	bZIP23_9
71	JMJ705_wox11_oxJ5	106tracks_bw/TF_Tracks/JMJ705_oxJ5_Rep1.rpgc.bw	mean	71	JMJ705_wox11_oxJ5
72	ABF1	106tracks_bw/TF_Tracks/OsABF1_Rep1.rpgc.bw	mean	72	ABF1
73	bZIP39	106tracks_bw/TF_Tracks/OsbZIP39_Rep1.rpgc.bw	mean	73	bZIP39
74	bZIP46	106tracks_bw/TF_Tracks/OsbZIP46_Rep1.rpgc.bw	mean	74	bZIP46
75	bZIP73	106tracks_bw/TF_Tracks/bZIP73_Rep1.rpgc.bw	mean	75	bZIP73
76	bZIP81	106tracks_bw/TF_Tracks/OsbZIP81_Rep1.rpgc.bw	mean	76	bZIP81
77	GLK1	106tracks_bw/TF_Tracks/OsGLK1_Rep1.rpgc.bw	mean	77	GLK1
78	GLK2	106tracks_bw/TF_Tracks/OsGLK2_Rep1.rpgc.bw	mean	78	GLK2
79	GRF4	106tracks_bw/TF_Tracks/OsGRF4_Rep1.rpgc.bw	mean	79	GRF4
80	GRF6	106tracks_bw/TF_Tracks/OsGRF6_Rep1.rpgc.bw	mean	80	GRF6
81	GRF7	106tracks_bw/TF_Tracks/OsGRF7_Rep1.rpgc.bw	mean	81	GRF7
82	OSH1	106tracks_bw/TF_Tracks/OSH1_Rep1.rpgc.bw	mean	82	OSH1
83	HOX24_OE_DS	106tracks_bw/TF_Tracks/OsHOX24_OE_DS_Rep1.rpgc.bw	mean	83	HOX24_OE_DS
84	HOX24_WT_DS	106tracks_bw/TF_Tracks/OsHOX24_WT_DS_Rep1.rpgc.bw	mean	84	HOX24_WT_DS
85	IDS1	106tracks_bw/TF_Tracks/OsIDS1_Rep1.rpgc.bw	mean	85	IDS1
86	MADS29	106tracks_bw/TF_Tracks/OsMADS29_Rep1.rpgc.bw	mean	86	MADS29
87	NAC6_Pol2_2	106tracks_bw/TF_Tracks/OsNAC6_Pol2_2_Rep1.rpgc.bw	mean	87	NAC6_Pol2_2
88	NAC6_myc	106tracks_bw/TF_Tracks/OsNAC6_myc_Rep1.rpgc.bw	mean	88	NAC6_myc
89	NAC127H	106tracks_bw/TF_Tracks/ONAC127H_Rep1.rpgc.bw	mean	89	NAC127H
90	NAC127N	106tracks_bw/TF_Tracks/ONAC127N_Rep1.rpgc.bw	mean	90	NAC127N
91	NAC129H	106tracks_bw/TF_Tracks/ONAC129H_Rep1.rpgc.bw	mean	91	NAC129H
92	NAC129N	106tracks_bw/TF_Tracks/ONAC129N_Rep1.rpgc.bw	mean	92	NAC129N
93	NF_YB1	106tracks_bw/TF_Tracks/OsNF_YB1_Rep1.rpgc.bw	mean	93	NF_YB1
94	SRT1	106tracks_bw/TF_Tracks/OsSRT1_Rep1.rpgc.bw	mean	94	SRT1
95	TGAP1	106tracks_bw/TF_Tracks/OsTGAP1_Rep2.rpgc.bw	mean	95	TGAP1
96	TGAP1_elicitor	106tracks_bw/TF_Tracks/OsTGAP1_elicitor_Rep1.rpgc.bw	mean	96	TGAP1_elicitor
97	PROG1	106tracks_bw/TF_Tracks/PROG1_Rep1.rpgc.bw	mean	97	PROG1
98	SDG711	106tracks_bw/TF_Tracks/SDG711_Rep1.rpgc.bw	mean	98	SDG711
99	TGAP_root_mock	106tracks_bw/TF_Tracks/TGAP_root_mock_Rep1.rpgc.bw	mean	99	TGAP_root_mock
100	MYC_shoot_mock	106tracks_bw/TF_Tracks/MYC_shoot_mock_Rep1.rpgc.bw	mean	100	MYC_shoot_mock
101	WRKY46	106tracks_bw/TF_Tracks/OsWRKY46_Rep1.rpgc.bw	mean	101	WRKY46
102	WRKY72	106tracks_bw/TF_Tracks/OsWRKY72_Rep1.rpgc.bw	mean	102	WRKY72
103	ASR2	106tracks_bw/TF_Tracks/OsASR2_Rep1.rpgc.bw	mean	103	ASR2
104	PhastCon	106tracks_bw/Conservation_Cactus/Plant_merged_scoresPhastCons.numchr.bw	mean	104	PhastCon
105	PhyloP	106tracks_bw/Conservation_Cactus/Plant_merged_scoresPhyloP.numchr.bw	mean	105	PhyloP
