identifier	file	sum_stat	strand_pair	description
NIP_Seed1_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Seed1.cpm.bw	mean	18	NIP_Seed1_ATAC
NIP_Seed2_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Seed2.cpm.bw	mean	19	NIP_Seed2_ATAC
NIP_Seed3_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Seed3.cpm.bw	mean	20	NIP_Seed3_ATAC
NIP_Sheath_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Sheath.cpm.bw	mean	21	NIP_Sheath_ATAC
NIP_Stamen_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Stamen.cpm.bw	mean	22	NIP_Stamen_ATAC
NIP_Stem_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Stem.cpm.bw	mean	23	NIP_Stem_ATAC
Nip_mature_leaf_H3K27ac	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_mature_leaf_H3K27ac_Rep1.rpgc.bw	mean	24	Nip_mature_leaf_H3K27ac
Nip_mature_leaf_H3K27me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_mature_leaf_H3K27me3_Rep1.rpgc.bw	mean	25	Nip_mature_leaf_H3K27me3
Nip_mature_leaf_H3K4me1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_mature_leaf_H3K4me1_Rep1.rpgc.bw	mean	26	Nip_mature_leaf_H3K4me1
Nip_mature_leaf_H3K4me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_mature_leaf_H3K4me3_Rep1.rpgc.bw	mean	27	Nip_mature_leaf_H3K4me3
Nip_mature_leaf_H3K9me2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_mature_leaf_H3K9me2_Rep1.rpgc.bw	mean	28	Nip_mature_leaf_H3K9me2
Nip_mature_leaf_RNAPII	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_mature_leaf_RNAPII_Rep1.rpgc.bw	mean	29	Nip_mature_leaf_RNAPII
Nip_panicle_H3K27ac	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_panicle_H3K27ac_Rep1.rpgc.bw	mean	30	Nip_panicle_H3K27ac
Nip_panicle_H3K27me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_panicle_H3K27me3_Rep1.rpgc.bw	mean	31	Nip_panicle_H3K27me3
Nip_panicle_H3K4me1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_panicle_H3K4me1_Rep1.rpgc.bw	mean	32	Nip_panicle_H3K4me1
Nip_panicle_H3K4me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_panicle_H3K4me3_Rep1.rpgc.bw	mean	33	Nip_panicle_H3K4me3
Nip_panicle_H3K9me2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_panicle_H3K9me2_Rep1.rpgc.bw	mean	34	Nip_panicle_H3K9me2
Nip_panicle_RNAPII	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_panicle_RNAPII_Rep1.rpgc.bw	mean	35	Nip_panicle_RNAPII
Nip_root_H3K27ac	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_root_H3K27ac_Rep1.rpgc.bw	mean	36	Nip_root_H3K27ac
Nip_root_H3K27me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_root_H3K27me3_Rep1.rpgc.bw	mean	37	Nip_root_H3K27me3
Nip_root_H3K4me1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_root_H3K4me1_Rep1.rpgc.bw	mean	38	Nip_root_H3K4me1
Nip_root_H3K4me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_root_H3K4me3_Rep1.rpgc.bw	mean	39	Nip_root_H3K4me3
Nip_root_H3K9me2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_root_H3K9me2_Rep1.rpgc.bw	mean	40	Nip_root_H3K9me2
Nip_young_leaf_H3K27ac	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_young_leaf_H3K27ac_Rep1.rpgc.bw	mean	41	Nip_young_leaf_H3K27ac
Nip_young_leaf_H3K27me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_young_leaf_H3K27me3_Rep1.rpgc.bw	mean	42	Nip_young_leaf_H3K27me3
Nip_young_leaf_H3K4me1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_young_leaf_H3K4me1_Rep1.rpgc.bw	mean	43	Nip_young_leaf_H3K4me1
Nip_young_leaf_H3K4me3	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_young_leaf_H3K4me3_Rep1.rpgc.bw	mean	44	Nip_young_leaf_H3K4me3
Nip_young_leaf_H3K9me2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_young_leaf_H3K9me2_Rep1.rpgc.bw	mean	45	Nip_young_leaf_H3K9me2
Nip_young_leaf_RNAPII	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/Nip_young_leaf_RNAPII_Rep1.rpgc.bw	mean	46	Nip_young_leaf_RNAPII
H3K4me3_Calli	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K4me3_calli_Rep1.rpgc.bw	mean	47	H3K4me3_Calli
H3K4me3_Leaves	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K4me3_leaves_Rep1.rpgc.bw	mean	48	H3K4me3_Leaves
H3K4me3_Panicle	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K4me3_panicle_Rep1.rpgc.bw	mean	49	H3K4me3_Panicle
H3K9me2_Calli	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K9me2_calli_Rep1.rpgc.bw	mean	50	H3K9me2_Calli
H3K9me2_Leaves	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K9me2_leaves_Rep1.rpgc.bw	mean	51	H3K9me2_Leaves
H3K9me2_Panicle	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K9me2_panicle_Rep1.rpgc.bw	mean	52	H3K9me2_Panicle
H4K12ac_Calli	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H4K12ac_calli_Rep1.rpgc.bw	mean	53	H4K12ac_Calli
H4K12ac_Leaves	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H4K12ac_leaves_Rep1.rpgc.bw	mean	54	H4K12ac_Leaves
H4K12ac_Panicle	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H4K12ac_panicle_Rep1.rpgc.bw	mean	55	H4K12ac_Panicle
H3K27me3_Nip_leaf	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K27me3_Nip_leaf_Rep1.rpgc.bw	mean	56	H3K27me3_Nip_leaf
H3K27me3_Nip_root	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K27me3_Nip_root_Rep1.rpgc.bw	mean	57	H3K27me3_Nip_root
H3K4me3_Nip_leaf	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K4me3_Nip_leaf_Rep1.rpgc.bw	mean	58	H3K4me3_Nip_leaf
H3K4me3_Nip_root	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/HistoneMarks/H3K4me3_Nip_root_Rep1.rpgc.bw	mean	59	H3K4me3_Nip_root
ARF4_G5	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/ARF4_G5_Rep1.rpgc.bw	mean	60	ARF4_G5
ARF4_G8	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/ARF4_G8_Rep1.rpgc.bw	mean	61	ARF4_G8
HHC4_13	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/HHC4_13_Rep1.rpgc.bw	mean	62	HHC4_13
HHC4_14	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/HHC4_14_Rep1.rpgc.bw	mean	63	HHC4_14
HHC4_15	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/HHC4_15_Rep1.rpgc.bw	mean	64	HHC4_15
HHC4_1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/HHC4_1_Rep1.rpgc.bw	mean	65	HHC4_1
HHC4_2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/HHC4_2_Rep1.rpgc.bw	mean	66	HHC4_2
bZIP23_1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/bZIP23_1_Rep1.rpgc.bw	mean	67	bZIP23_1
bZIP23_2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/bZIP23_2_Rep1.rpgc.bw	mean	68	bZIP23_2
bZIP23_5	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/bZIP23_5_Rep1.rpgc.bw	mean	69	bZIP23_5
bZIP23_9	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/bZIP23_9_Rep1.rpgc.bw	mean	70	bZIP23_9
JMJ705_wox11_oxJ5	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/JMJ705_oxJ5_Rep1.rpgc.bw	mean	71	JMJ705_wox11_oxJ5
ABF1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsABF1_Rep1.rpgc.bw	mean	72	ABF1
bZIP39	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsbZIP39_Rep1.rpgc.bw	mean	73	bZIP39
bZIP46	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsbZIP46_Rep1.rpgc.bw	mean	74	bZIP46
bZIP73	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/bZIP73_Rep1.rpgc.bw	mean	75	bZIP73
bZIP81	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsbZIP81_Rep1.rpgc.bw	mean	76	bZIP81
GLK1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsGLK1_Rep1.rpgc.bw	mean	77	GLK1
GLK2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsGLK2_Rep1.rpgc.bw	mean	78	GLK2
GRF4	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsGRF4_Rep1.rpgc.bw	mean	79	GRF4
GRF6	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsGRF6_Rep1.rpgc.bw	mean	80	GRF6
GRF7	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsGRF7_Rep1.rpgc.bw	mean	81	GRF7
OSH1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OSH1_Rep1.rpgc.bw	mean	82	OSH1
HOX24_OE_DS	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsHOX24_OE_DS_Rep1.rpgc.bw	mean	83	HOX24_OE_DS
HOX24_WT_DS	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsHOX24_WT_DS_Rep1.rpgc.bw	mean	84	HOX24_WT_DS
IDS1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsIDS1_Rep1.rpgc.bw	mean	85	IDS1
MADS29	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsMADS29_Rep1.rpgc.bw	mean	86	MADS29
NAC6_Pol2_2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsNAC6_Pol2_2_Rep1.rpgc.bw	mean	87	NAC6_Pol2_2
NAC6_myc	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsNAC6_myc_Rep1.rpgc.bw	mean	88	NAC6_myc
NAC127H	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/ONAC127H_Rep1.rpgc.bw	mean	89	NAC127H
NAC127N	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/ONAC127N_Rep1.rpgc.bw	mean	90	NAC127N
NAC129H	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/ONAC129H_Rep1.rpgc.bw	mean	91	NAC129H
NAC129N	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/ONAC129N_Rep1.rpgc.bw	mean	92	NAC129N
NF_YB1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsNF_YB1_Rep1.rpgc.bw	mean	93	NF_YB1
SRT1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsSRT1_Rep1.rpgc.bw	mean	94	SRT1
TGAP1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsTGAP1_Rep2.rpgc.bw	mean	95	TGAP1
TGAP1_elicitor	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsTGAP1_elicitor_Rep1.rpgc.bw	mean	96	TGAP1_elicitor
PROG1	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/PROG1_Rep1.rpgc.bw	mean	97	PROG1
SDG711	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/SDG711_Rep1.rpgc.bw	mean	98	SDG711
TGAP_root_mock	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/TGAP_root_mock_Rep1.rpgc.bw	mean	99	TGAP_root_mock
MYC_shoot_mock	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/MYC_shoot_mock_Rep1.rpgc.bw	mean	100	MYC_shoot_mock
WRKY46	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsWRKY46_Rep1.rpgc.bw	mean	101	WRKY46
WRKY72	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsWRKY72_Rep1.rpgc.bw	mean	102	WRKY72
ASR2	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/TF_Tracks/OsASR2_Rep1.rpgc.bw	mean	103	ASR2
PhastCon	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/Conservation_Cactus/Plant_merged_scoresPhastCons.numchr.bw	mean	104	PhastCon
PhyloP	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/Conservation_Cactus/Plant_merged_scoresPhyloP.numchr.bw	mean	105	PhyloP
P8.A	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.A.BPM_ave.bw	sum_sqrt	106	P8.A
P8.B	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.B.BPM_ave.bw	sum_sqrt	107	P8.B
P8.C	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.C.BPM_ave.bw	sum_sqrt	108	P8.C
P8.D	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.D.BPM_ave.bw	sum_sqrt	109	P8.D
P8.E	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.E.BPM_ave.bw	sum_sqrt	110	P8.E
P8.F	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.F.BPM_ave.bw	sum_sqrt	111	P8.F
P8.G	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.G.BPM_ave.bw	sum_sqrt	112	P8.G
